Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;772;-;-;772;-;-
Wählende;345;44,7 %;-;345;44,7 %;-
Ungültige Stimmen;8;2,3 %;-;3;0,9 %;-
Gültige Stimmen;337;97,7 %;-;342;99,1 %;-
SPD;84;24,9 %;-;98;28,7 %;-
AfD;109;32,3 %;-;108;31,6 %;-
CDU;24;7,1 %;-;25;7,3 %;-
GRÜNE/B 90;7;2,1 %;-;9;2,6 %;-
DIE LINKE;18;5,3 %;-;13;3,8 %;-
BVB / FREIE WÄHLER;87;25,8 %;-;34;9,9 %;-
FDP;7;2,1 %;-;4;1,2 %;-
Tierschutzpartei;-;-;-;10;2,9 %;-
Plus;-;-;-;1;0,3 %;-
BSW;-;-;-;38;11,1 %;-
III. Weg;-;-;-;1;0,3 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;0;0,0 %;-
WU;-;-;-;1;0,3 %;-
dieBasis;1;0,3 %;-;-;-;-
EB Link;0;0,0 %;-;-;-;-
