Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;707;-;-;707;-;-
Wählende;324;45,8 %;-;324;45,8 %;-
Ungültige Stimmen;5;1,5 %;-;4;1,2 %;-
Gültige Stimmen;319;98,5 %;-;320;98,8 %;-
SPD;94;29,5 %;-;105;32,8 %;-
AfD;99;31,0 %;-;102;31,9 %;-
CDU;27;8,5 %;-;18;5,6 %;-
GRÜNE/B 90;6;1,9 %;-;12;3,8 %;-
DIE LINKE;23;7,2 %;-;15;4,7 %;-
BVB / FREIE WÄHLER;67;21,0 %;-;18;5,6 %;-
FDP;3;0,9 %;-;1;0,3 %;-
Tierschutzpartei;-;-;-;3;0,9 %;-
Plus;-;-;-;0;0,0 %;-
BSW;-;-;-;46;14,4 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;0;0,0 %;-
WU;-;-;-;0;0,0 %;-
dieBasis;0;0,0 %;-;-;-;-
EB Link;0;0,0 %;-;-;-;-
