Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;963;-;-;963;-;-
Wählende;511;53,1 %;-;511;53,1 %;-
Ungültige Stimmen;5;1,0 %;-;5;1,0 %;-
Gültige Stimmen;506;99,0 %;-;506;99,0 %;-
SPD;130;25,7 %;-;153;30,2 %;-
AfD;174;34,4 %;-;165;32,6 %;-
CDU;66;13,0 %;-;48;9,5 %;-
GRÜNE/B 90;14;2,8 %;-;19;3,8 %;-
DIE LINKE;22;4,3 %;-;13;2,6 %;-
BVB / FREIE WÄHLER;87;17,2 %;-;16;3,2 %;-
FDP;8;1,6 %;-;4;0,8 %;-
Tierschutzpartei;-;-;-;9;1,8 %;-
Plus;-;-;-;7;1,4 %;-
BSW;-;-;-;71;14,0 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;1;0,2 %;-
WU;-;-;-;0;0,0 %;-
dieBasis;2;0,4 %;-;-;-;-
EB Link;3;0,6 %;-;-;-;-
