Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;987;-;-;987;-;-
Wählende;466;47,2 %;-;466;47,2 %;-
Ungültige Stimmen;6;1,3 %;-;3;0,6 %;-
Gültige Stimmen;460;98,7 %;-;463;99,4 %;-
SPD;113;24,6 %;-;132;28,5 %;-
AfD;137;29,8 %;-;121;26,1 %;-
CDU;60;13,0 %;-;41;8,9 %;-
GRÜNE/B 90;22;4,8 %;-;21;4,5 %;-
DIE LINKE;16;3,5 %;-;5;1,1 %;-
BVB / FREIE WÄHLER;96;20,9 %;-;35;7,6 %;-
FDP;10;2,2 %;-;7;1,5 %;-
Tierschutzpartei;-;-;-;13;2,8 %;-
Plus;-;-;-;4;0,9 %;-
BSW;-;-;-;83;17,9 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;0;0,0 %;-
WU;-;-;-;1;0,2 %;-
dieBasis;2;0,4 %;-;-;-;-
EB Link;4;0,9 %;-;-;-;-
