Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;834;-;-;834;-;-
Wählende;381;45,7 %;-;381;45,7 %;-
Ungültige Stimmen;4;1,0 %;-;1;0,3 %;-
Gültige Stimmen;377;99,0 %;-;380;99,7 %;-
SPD;93;24,7 %;-;133;35,0 %;-
AfD;116;30,8 %;-;109;28,7 %;-
CDU;33;8,8 %;-;33;8,7 %;-
GRÜNE/B 90;7;1,9 %;-;16;4,2 %;-
DIE LINKE;25;6,6 %;-;8;2,1 %;-
BVB / FREIE WÄHLER;97;25,7 %;-;20;5,3 %;-
FDP;2;0,5 %;-;1;0,3 %;-
Tierschutzpartei;-;-;-;5;1,3 %;-
Plus;-;-;-;3;0,8 %;-
BSW;-;-;-;48;12,6 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;3;0,8 %;-
WU;-;-;-;1;0,3 %;-
dieBasis;2;0,5 %;-;-;-;-
EB Link;2;0,5 %;-;-;-;-
