Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;1.072;-;-;1.072;-;-
Wählende;559;52,1 %;-;559.0;52,1 %;-
Ungültige Stimmen;5;0,9 %;-;1.0;0,2 %;-
Gültige Stimmen;554;99,1 %;-;558.0;99,8 %;-
SPD;147;26,5 %;-;148.0;26,5 %;-
AfD;211;38,1 %;-;195.0;34,9 %;-
CDU;84;15,2 %;-;51.0;9,1 %;-
GRÜNE/B 90;10;1,8 %;-;15.0;2,7 %;-
DIE LINKE;33;6,0 %;-;10.0;1,8 %;-
BVB / FREIE WÄHLER;64;11,6 %;-;20.0;3,6 %;-
FDP;5;0,9 %;-;4.0;0,7 %;-
Tierschutzpartei;-;-;-;9.0;1,6 %;-
Plus;-;-;-;4.0;0,7 %;-
BSW;-;-;-;98.0;17,6 %;-
III. Weg;-;-;-;2.0;0,4 %;-
DKP;-;-;-;0.0;0,0 %;-
DLW;-;-;-;1.0;0,2 %;-
WU;-;-;-;1.0;0,2 %;-
