Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;818;-;-;818;-;-
Wählende;495;60,5 %;-;495;60,5 %;-
Ungültige Stimmen;6;1,2 %;-;7;1,4 %;-
Gültige Stimmen;489;98,8 %;-;488;98,6 %;-
SPD;111;22,7 %;-;108;22,1 %;-
AfD;223;45,6 %;-;201;41,2 %;-
CDU;76;15,5 %;-;56;11,5 %;-
GRÜNE/B 90;5;1,0 %;-;5;1,0 %;-
DIE LINKE;27;5,5 %;-;24;4,9 %;-
BVB / FREIE WÄHLER;42;8,6 %;-;10;2,0 %;-
FDP;5;1,0 %;-;4;0,8 %;-
Tierschutzpartei;-;-;-;6;1,2 %;-
Plus;-;-;-;5;1,0 %;-
BSW;-;-;-;64;13,1 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;2;0,4 %;-
WU;-;-;-;3;0,6 %;-
