Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;939;-;-;939;-;-
Wählende;436;46,4 %;-;436;46,4 %;-
Ungültige Stimmen;10;2,3 %;-;3;0,7 %;-
Gültige Stimmen;426;97,7 %;-;433;99,3 %;-
SPD;119;27,9 %;-;119;27,5 %;-
AfD;166;39,0 %;-;161;37,2 %;-
CDU;68;16,0 %;-;40;9,2 %;-
GRÜNE/B 90;5;1,2 %;-;10;2,3 %;-
DIE LINKE;36;8,5 %;-;14;3,2 %;-
BVB / FREIE WÄHLER;29;6,8 %;-;9;2,1 %;-
FDP;3;0,7 %;-;2;0,5 %;-
Tierschutzpartei;-;-;-;7;1,6 %;-
Plus;-;-;-;0;0,0 %;-
BSW;-;-;-;70;16,2 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;1;0,2 %;-
DLW;-;-;-;0;0,0 %;-
WU;-;-;-;0;0,0 %;-
