Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;228;-;-;228;-;-
Wählende;148;64,9 %;+196;148;64,9 %;+196
Ungültige Stimmen;1;0,7 %;-06;1;0,7 %;-05
Gültige Stimmen;147;99,3 %;+06;147;99,3 %;+05
SPD;37;25,2 %;+59;36;24,5 %;+14
AfD;58;39,5 %;+205;49;33,3 %;+110
CDU;19;12,9 %;-160;18;12,2 %;-38
GRÜNE/B 90;0;0,0 %;-68;3;2,0 %;-88
DIE LINKE;4;2,7 %;-92;3;2,0 %;-98
BVB / FREIE WÄHLER;29;19,7 %;+86;10;6,8 %;-34
FDP;0;0,0 %;-16;1;0,7 %;-19
Tierschutzpartei;-;-;-;4;2,7 %;+05
Plus;-;-;-;0;0,0 %;-08
BSW;-;-;-;23;15,6 %;+156
III. Weg;-;-;-;0;0,0 %;00
DKP;-;-;-;0;0,0 %;00
DLW;-;-;-;0;0,0 %;00
WU;-;-;-;0;0,0 %;00
