Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;317;-;-;317;-;-
Wählende;206;65,0 %;+77;206;65,0 %;+77
Ungültige Stimmen;3;1,5 %;+01;2;1,0 %;+02
Gültige Stimmen;203;98,5 %;-01;204;99,0 %;-02
SPD;56;27,6 %;+08;49;24,0 %;-21
AfD;89;43,8 %;+120;82;40,2 %;+85
CDU;24;11,8 %;-36;21;10,3 %;-34
GRÜNE/B 90;7;3,4 %;-32;7;3,4 %;-40
DIE LINKE;7;3,4 %;-64;7;3,4 %;-66
BVB / FREIE WÄHLER;19;9,4 %;+33;3;1,5 %;-30
FDP;1;0,5 %;-14;0;0,0 %;-32
Tierschutzpartei;-;-;-;3;1,5 %;-01
Plus;-;-;-;2;1,0 %;-06
BSW;-;-;-;30;14,7 %;+147
III. Weg;-;-;-;0;0,0 %;00
DKP;-;-;-;0;0,0 %;00
DLW;-;-;-;0;0,0 %;00
WU;-;-;-;0;0,0 %;00
