Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;239;-;-;239;-;-
Wählende;136;56,9 %;+63;136;56,9 %;+63
Ungültige Stimmen;2;1,5 %;-03;2;1,5 %;+03
Gültige Stimmen;134;98,5 %;+03;134;98,5 %;-03
SPD;48;35,8 %;+102;42;31,3 %;+59
AfD;51;38,1 %;+112;51;38,1 %;+99
CDU;10;7,5 %;-115;6;4,5 %;-105
GRÜNE/B 90;3;2,2 %;-49;6;4,5 %;-25
DIE LINKE;5;3,7 %;-60;4;3,0 %;-75
BVB / FREIE WÄHLER;17;12,7 %;+43;5;3,7 %;-22
FDP;0;0,0 %;-20;0;0,0 %;-34
Tierschutzpartei;-;-;-;0;0,0 %;-39
Plus;-;-;-;0;0,0 %;-07
BSW;-;-;-;20;14,9 %;+149
III. Weg;-;-;-;0;0,0 %;00
DKP;-;-;-;0;0,0 %;00
DLW;-;-;-;0;0,0 %;00
WU;-;-;-;0;0,0 %;00
