Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;1.244;-;-;1.244;-;-
Wählende;447;35,9 %;-;447.0;35,9 %;-
Ungültige Stimmen;7;1,6 %;-;8.0;1,8 %;-
Gültige Stimmen;440;98,4 %;-;439.0;98,2 %;-
SPD;138;31,4 %;-;117.0;26,7 %;-
AfD;180;40,9 %;-;160.0;36,4 %;-
CDU;57;13,0 %;-;44.0;10,0 %;-
GRÜNE/B 90;6;1,4 %;-;8.0;1,8 %;-
DIE LINKE;26;5,9 %;-;15.0;3,4 %;-
BVB / FREIE WÄHLER;27;6,1 %;-;11.0;2,5 %;-
FDP;6;1,4 %;-;3.0;0,7 %;-
Tierschutzpartei;-;-;-;15.0;3,4 %;-
Plus;-;-;-;8.0;1,8 %;-
BSW;-;-;-;54.0;12,3 %;-
III. Weg;-;-;-;0.0;0,0 %;-
DKP;-;-;-;0.0;0,0 %;-
DLW;-;-;-;2.0;0,5 %;-
WU;-;-;-;2.0;0,5 %;-
