Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;1.320;-;-;1.32;-;-
Wählende;700;53,0 %;-;700.0;53,0 %;-
Ungültige Stimmen;5;0,7 %;-;5.0;0,7 %;-
Gültige Stimmen;695;99,3 %;-;695.0;99,3 %;-
SPD;215;30,9 %;-;209.0;30,1 %;-
AfD;233;33,5 %;-;218.0;31,4 %;-
CDU;169;24,3 %;-;101.0;14,5 %;-
GRÜNE/B 90;10;1,4 %;-;24.0;3,5 %;-
DIE LINKE;25;3,6 %;-;10.0;1,4 %;-
BVB / FREIE WÄHLER;37;5,3 %;-;10.0;1,4 %;-
FDP;6;0,9 %;-;1.0;0,1 %;-
Tierschutzpartei;-;-;-;12.0;1,7 %;-
Plus;-;-;-;7.0;1,0 %;-
BSW;-;-;-;96.0;13,8 %;-
III. Weg;-;-;-;1.0;0,1 %;-
DKP;-;-;-;0.0;0,0 %;-
DLW;-;-;-;6.0;0,9 %;-
WU;-;-;-;0.0;0,0 %;-
