Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;1.512;-;-;1.512;-;-
Wählende;725;47,9 %;-;725.0;47,9 %;-
Ungültige Stimmen;8;1,1 %;-;4.0;0,6 %;-
Gültige Stimmen;717;98,9 %;-;721.0;99,4 %;-
SPD;262;36,5 %;-;238.0;33,0 %;-
AfD;223;31,1 %;-;215.0;29,8 %;-
CDU;140;19,5 %;-;74.0;10,3 %;-
GRÜNE/B 90;9;1,3 %;-;30.0;4,2 %;-
DIE LINKE;30;4,2 %;-;26.0;3,6 %;-
BVB / FREIE WÄHLER;41;5,7 %;-;19.0;2,6 %;-
FDP;12;1,7 %;-;8.0;1,1 %;-
Tierschutzpartei;-;-;-;13.0;1,8 %;-
Plus;-;-;-;7.0;1,0 %;-
BSW;-;-;-;89.0;12,3 %;-
III. Weg;-;-;-;0.0;0,0 %;-
DKP;-;-;-;0.0;0,0 %;-
DLW;-;-;-;1.0;0,1 %;-
WU;-;-;-;1.0;0,1 %;-
