Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;265;-;-;265;-;-
Wählende;178;67,2 %;-;178;67,2 %;-
Ungültige Stimmen;5;2,8 %;-;1;0,6 %;-
Gültige Stimmen;173;97,2 %;-;177;99,4 %;-
SPD;46;26,6 %;-;65;36,7 %;-
AfD;53;30,6 %;-;53;29,9 %;-
CDU;60;34,7 %;-;25;14,1 %;-
GRÜNE/B 90;3;1,7 %;-;1;0,6 %;-
DIE LINKE;5;2,9 %;-;4;2,3 %;-
BVB / FREIE WÄHLER;6;3,5 %;-;2;1,1 %;-
FDP;0;0,0 %;-;1;0,6 %;-
Tierschutzpartei;-;-;-;2;1,1 %;-
Plus;-;-;-;0;0,0 %;-
BSW;-;-;-;23;13,0 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;1;0,6 %;-
WU;-;-;-;0;0,0 %;-
