Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;438;-;-;438;-;-
Wählende;263;60,0 %;-;263;60,0 %;-
Ungültige Stimmen;4;1,5 %;-;2;0,8 %;-
Gültige Stimmen;259;98,5 %;-;261;99,2 %;-
SPD;64;24,7 %;-;69;26,4 %;-
AfD;95;36,7 %;-;98;37,5 %;-
CDU;79;30,5 %;-;34;13,0 %;-
GRÜNE/B 90;0;0,0 %;-;0;0,0 %;-
DIE LINKE;8;3,1 %;-;5;1,9 %;-
BVB / FREIE WÄHLER;12;4,6 %;-;7;2,7 %;-
FDP;1;0,4 %;-;1;0,4 %;-
Tierschutzpartei;-;-;-;9;3,4 %;-
Plus;-;-;-;0;0,0 %;-
BSW;-;-;-;38;14,6 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;0;0,0 %;-
WU;-;-;-;0;0,0 %;-
