Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;444;-;-;444;-;-
Wählende;266;59,9 %;-;266;59,9 %;-
Ungültige Stimmen;2;0,8 %;-;2;0,8 %;-
Gültige Stimmen;264;99,2 %;-;264;99,2 %;-
SPD;80;30,3 %;-;76;28,8 %;-
AfD;108;40,9 %;-;109;41,3 %;-
CDU;58;22,0 %;-;34;12,9 %;-
GRÜNE/B 90;2;0,8 %;-;2;0,8 %;-
DIE LINKE;4;1,5 %;-;0;0,0 %;-
BVB / FREIE WÄHLER;11;4,2 %;-;6;2,3 %;-
FDP;1;0,4 %;-;0;0,0 %;-
Tierschutzpartei;-;-;-;1;0,4 %;-
Plus;-;-;-;0;0,0 %;-
BSW;-;-;-;35;13,3 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;1;0,4 %;-
WU;-;-;-;0;0,0 %;-
