Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;178;-;-;178;-;-
Wählende;107;60,1 %;-;107;60,1 %;-
Ungültige Stimmen;0;0,0 %;-;0;0,0 %;-
Gültige Stimmen;107;100,0 %;-;107;100,0 %;-
SPD;36;33,6 %;-;29;27,1 %;-
AfD;31;29,0 %;-;31;29,0 %;-
CDU;22;20,6 %;-;17;15,9 %;-
GRÜNE/B 90;1;0,9 %;-;2;1,9 %;-
DIE LINKE;4;3,7 %;-;2;1,9 %;-
BVB / FREIE WÄHLER;11;10,3 %;-;6;5,6 %;-
FDP;2;1,9 %;-;0;0,0 %;-
Tierschutzpartei;-;-;-;1;0,9 %;-
Plus;-;-;-;1;0,9 %;-
BSW;-;-;-;15;14,0 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;3;2,8 %;-
WU;-;-;-;0;0,0 %;-
