Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;159;-;-;159;-;-
Wählende;70;44,0 %;-;70;44,0 %;-
Ungültige Stimmen;0;0,0 %;-;0;0,0 %;-
Gültige Stimmen;70;100,0 %;-;70;100,0 %;-
SPD;22;31,4 %;-;21;30,0 %;-
AfD;27;38,6 %;-;26;37,1 %;-
CDU;12;17,1 %;-;6;8,6 %;-
GRÜNE/B 90;1;1,4 %;-;1;1,4 %;-
DIE LINKE;1;1,4 %;-;1;1,4 %;-
BVB / FREIE WÄHLER;7;10,0 %;-;1;1,4 %;-
FDP;0;0,0 %;-;0;0,0 %;-
Tierschutzpartei;-;-;-;2;2,9 %;-
Plus;-;-;-;0;0,0 %;-
BSW;-;-;-;11;15,7 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;1;1,4 %;-
WU;-;-;-;0;0,0 %;-
