Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;157;-;-;157;-;-
Wählende;66;42,0 %;-;66;42,0 %;-
Ungültige Stimmen;1;1,5 %;-;2;3,0 %;-
Gültige Stimmen;65;98,5 %;-;64;97,0 %;-
SPD;24;36,9 %;-;17;26,6 %;-
AfD;24;36,9 %;-;22;34,4 %;-
CDU;11;16,9 %;-;9;14,1 %;-
GRÜNE/B 90;0;0,0 %;-;2;3,1 %;-
DIE LINKE;1;1,5 %;-;2;3,1 %;-
BVB / FREIE WÄHLER;5;7,7 %;-;2;3,1 %;-
FDP;0;0,0 %;-;0;0,0 %;-
Tierschutzpartei;-;-;-;1;1,6 %;-
Plus;-;-;-;0;0,0 %;-
BSW;-;-;-;9;14,1 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;0;0,0 %;-
WU;-;-;-;0;0,0 %;-
