Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;187;-;-;187;-;-
Wählende;108;57,8 %;-;108;57,8 %;-
Ungültige Stimmen;4;3,7 %;-;2;1,9 %;-
Gültige Stimmen;104;96,3 %;-;106;98,1 %;-
SPD;28;26,9 %;-;24;22,6 %;-
AfD;51;49,0 %;-;49;46,2 %;-
CDU;9;8,7 %;-;5;4,7 %;-
GRÜNE/B 90;0;0,0 %;-;0;0,0 %;-
DIE LINKE;6;5,8 %;-;3;2,8 %;-
BVB / FREIE WÄHLER;6;5,8 %;-;2;1,9 %;-
FDP;4;3,8 %;-;1;0,9 %;-
Tierschutzpartei;-;-;-;6;5,7 %;-
Plus;-;-;-;1;0,9 %;-
BSW;-;-;-;15;14,2 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;0;0,0 %;-
WU;-;-;-;0;0,0 %;-
