Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;691;-;-;691;-;-
Wählende;394;57,0 %;-;394;57,0 %;-
Ungültige Stimmen;5;1,3 %;-;3;0,8 %;-
Gültige Stimmen;389;98,7 %;-;391;99,2 %;-
SPD;128;32,9 %;-;112;28,6 %;-
AfD;154;39,6 %;-;142;36,3 %;-
CDU;67;17,2 %;-;44;11,3 %;-
GRÜNE/B 90;2;0,5 %;-;7;1,8 %;-
DIE LINKE;13;3,3 %;-;15;3,8 %;-
BVB / FREIE WÄHLER;20;5,1 %;-;8;2,0 %;-
FDP;5;1,3 %;-;3;0,8 %;-
Tierschutzpartei;-;-;-;3;0,8 %;-
Plus;-;-;-;0;0,0 %;-
BSW;-;-;-;56;14,3 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;1;0,3 %;-
WU;-;-;-;0;0,0 %;-
