Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;313;-;-;313;-;-
Wählende;191;61,0 %;-;191;61,0 %;-
Ungültige Stimmen;1;0,5 %;-;0;0,0 %;-
Gültige Stimmen;190;99,5 %;-;191;100,0 %;-
SPD;71;37,4 %;-;62;32,5 %;-
AfD;68;35,8 %;-;67;35,1 %;-
CDU;28;14,7 %;-;23;12,0 %;-
GRÜNE/B 90;1;0,5 %;-;2;1,0 %;-
DIE LINKE;3;1,6 %;-;7;3,7 %;-
BVB / FREIE WÄHLER;12;6,3 %;-;4;2,1 %;-
FDP;2;1,1 %;-;0;0,0 %;-
Tierschutzpartei;-;-;-;2;1,0 %;-
Plus;5;2,6 %;-;2;1,0 %;-
BSW;-;-;-;22;11,5 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;0;0,0 %;-
WU;-;-;-;0;0,0 %;-
