Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;1.365;-;-;1.365;-;-
Wählende;511;37,4 %;-;511.0;37,4 %;-
Ungültige Stimmen;13;2,5 %;-;6.0;1,2 %;-
Gültige Stimmen;498;97,5 %;-;505.0;98,8 %;-
SPD;197;39,6 %;-;159.0;31,5 %;-
AfD;182;36,5 %;-;160.0;31,7 %;-
CDU;45;9,0 %;-;38.0;7,5 %;-
GRÜNE/B 90;9;1,8 %;-;19.0;3,8 %;-
DIE LINKE;27;5,4 %;-;13.0;2,6 %;-
BVB / FREIE WÄHLER;22;4,4 %;-;8.0;1,6 %;-
FDP;3;0,6 %;-;3.0;0,6 %;-
Tierschutzpartei;-;-;-;14.0;2,8 %;-
Plus;13;2,6 %;-;7.0;1,4 %;-
BSW;-;-;-;81.0;16,0 %;-
III. Weg;-;-;-;0.0;0,0 %;-
DKP;-;-;-;2.0;0,4 %;-
DLW;-;-;-;0.0;0,0 %;-
WU;-;-;-;1.0;0,2 %;-
