Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;1.105;-;-;1.105;-;-
Wählende;514;46,5 %;-;514.0;46,5 %;-
Ungültige Stimmen;12;2,3 %;-;6.0;1,2 %;-
Gültige Stimmen;502;97,7 %;-;508.0;98,8 %;-
SPD;192;38,2 %;-;158.0;31,1 %;-
AfD;170;33,9 %;-;159.0;31,3 %;-
CDU;39;7,8 %;-;29.0;5,7 %;-
GRÜNE/B 90;11;2,2 %;-;27.0;5,3 %;-
DIE LINKE;29;5,8 %;-;26.0;5,1 %;-
BVB / FREIE WÄHLER;36;7,2 %;-;16.0;3,1 %;-
FDP;10;2,0 %;-;11.0;2,2 %;-
Tierschutzpartei;-;-;-;11.0;2,2 %;-
Plus;15;3,0 %;-;5.0;1,0 %;-
BSW;-;-;-;62.0;12,2 %;-
III. Weg;-;-;-;1.0;0,2 %;-
DKP;-;-;-;0.0;0,0 %;-
DLW;-;-;-;2.0;0,4 %;-
WU;-;-;-;1.0;0,2 %;-
