Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;700;-;-;700;-;-
Wählende;405;57,9 %;-;405;57,9 %;-
Ungültige Stimmen;12;3,0 %;-;10;2,5 %;-
Gültige Stimmen;393;97,0 %;-;395;97,5 %;-
SPD;124;31,6 %;-;118;29,9 %;-
AfD;147;37,4 %;-;127;32,2 %;-
CDU;70;17,8 %;-;47;11,9 %;-
GRÜNE/B 90;2;0,5 %;-;9;2,3 %;-
DIE LINKE;9;2,3 %;-;10;2,5 %;-
BVB / FREIE WÄHLER;32;8,1 %;-;15;3,8 %;-
FDP;5;1,3 %;-;2;0,5 %;-
Tierschutzpartei;-;-;-;7;1,8 %;-
Plus;4;1,0 %;-;3;0,8 %;-
BSW;-;-;-;55;13,9 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;1;0,3 %;-
WU;-;-;-;1;0,3 %;-
