Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;705;-;-;705;-;-
Wählende;378;53,6 %;+104;378;53,6 %;+104
Ungültige Stimmen;7;1,9 %;-01;4;1,1 %;-06
Gültige Stimmen;371;98,1 %;+01;374;98,9 %;+06
SPD;130;35,0 %;+93;111;29,7 %;+40
AfD;138;37,2 %;+155;124;33,2 %;+110
CDU;58;15,6 %;-27;39;10,4 %;-67
GRÜNE/B 90;4;1,1 %;-88;6;1,6 %;-99
DIE LINKE;13;3,5 %;-88;8;2,1 %;-77
BVB / FREIE WÄHLER;17;4,6 %;-39;9;2,4 %;-34
FDP;8;2,2 %;-14;3;0,8 %;-26
Tierschutzpartei;-;-;-;13;3,5 %;+07
Plus;3;0,8 %;+08;2;0,5 %;-08
BSW;-;-;-;57;15,2 %;+152
III. Weg;-;-;-;1;0,3 %;+03
DKP;-;-;-;0;0,0 %;00
DLW;-;-;-;0;0,0 %;00
WU;-;-;-;1;0,3 %;+03
