Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;542;-;-;542;-;-
Wählende;289;53,3 %;-;289;53,3 %;-
Ungültige Stimmen;4;1,4 %;-;3;1,0 %;-
Gültige Stimmen;285;98,6 %;-;286;99,0 %;-
SPD;100;35,1 %;-;92;32,2 %;-
AfD;130;45,6 %;-;120;42,0 %;-
CDU;31;10,9 %;-;25;8,7 %;-
GRÜNE/B 90;4;1,4 %;-;8;2,8 %;-
DIE LINKE;14;4,9 %;-;8;2,8 %;-
BVB / FREIE WÄHLER;5;1,8 %;-;1;0,3 %;-
FDP;1;0,4 %;-;1;0,3 %;-
Tierschutzpartei;-;-;-;5;1,7 %;-
Plus;-;-;-;0;0,0 %;-
BSW;-;-;-;24;8,4 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;1;0,3 %;-
WU;-;-;-;1;0,3 %;-
