Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;161;-;-;161;-;-
Wählende;99;61,5 %;-;99;61,5 %;-
Ungültige Stimmen;0;0,0 %;-;1;1,0 %;-
Gültige Stimmen;99;100,0 %;-;98;99,0 %;-
SPD;22;22,2 %;-;28;28,6 %;-
AfD;42;42,4 %;-;48;49,0 %;-
CDU;27;27,3 %;-;7;7,1 %;-
GRÜNE/B 90;1;1,0 %;-;2;2,0 %;-
DIE LINKE;2;2,0 %;-;1;1,0 %;-
BVB / FREIE WÄHLER;5;5,1 %;-;3;3,1 %;-
FDP;0;0,0 %;-;0;0,0 %;-
Tierschutzpartei;-;-;-;0;0,0 %;-
Plus;-;-;-;0;0,0 %;-
BSW;-;-;-;9;9,2 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;0;0,0 %;-
WU;-;-;-;0;0,0 %;-
