Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;468;-;-;468;-;-
Wählende;280;59,8 %;-;280;59,8 %;-
Ungültige Stimmen;7;2,5 %;-;5;1,8 %;-
Gültige Stimmen;273;97,5 %;-;275;98,2 %;-
SPD;123;45,1 %;-;106;38,5 %;-
AfD;77;28,2 %;-;62;22,5 %;-
CDU;34;12,5 %;-;26;9,5 %;-
GRÜNE/B 90;2;0,7 %;-;5;1,8 %;-
DIE LINKE;13;4,8 %;-;5;1,8 %;-
BVB / FREIE WÄHLER;20;7,3 %;-;10;3,6 %;-
FDP;4;1,5 %;-;0;0,0 %;-
Tierschutzpartei;-;-;-;5;1,8 %;-
Plus;-;-;-;2;0,7 %;-
BSW;-;-;-;49;17,8 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;5;1,8 %;-
WU;-;-;-;0;0,0 %;-
