Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;122;-;-;122;-;-
Wählende;77;63,1 %;-;77;63,1 %;-
Ungültige Stimmen;0;0,0 %;-;1;1,3 %;-
Gültige Stimmen;77;100,0 %;-;76;98,7 %;-
SPD;31;40,3 %;-;25;32,9 %;-
AfD;25;32,5 %;-;24;31,6 %;-
CDU;12;15,6 %;-;12;15,8 %;-
GRÜNE/B 90;1;1,3 %;-;0;0,0 %;-
DIE LINKE;0;0,0 %;-;0;0,0 %;-
BVB / FREIE WÄHLER;8;10,4 %;-;0;0,0 %;-
FDP;0;0,0 %;-;0;0,0 %;-
Tierschutzpartei;-;-;-;2;2,6 %;-
Plus;-;-;-;0;0,0 %;-
BSW;-;-;-;13;17,1 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;0;0,0 %;-
WU;-;-;-;0;0,0 %;-
