Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;223;-;-;223;-;-
Wählende;129;57,8 %;-;129;57,8 %;-
Ungültige Stimmen;0;0,0 %;-;1;0,8 %;-
Gültige Stimmen;129;100,0 %;-;128;99,2 %;-
SPD;49;38,0 %;-;41;32,0 %;-
AfD;38;29,5 %;-;36;28,1 %;-
CDU;23;17,8 %;-;18;14,1 %;-
GRÜNE/B 90;2;1,6 %;-;5;3,9 %;-
DIE LINKE;10;7,8 %;-;6;4,7 %;-
BVB / FREIE WÄHLER;7;5,4 %;-;6;4,7 %;-
FDP;0;0,0 %;-;1;0,8 %;-
Tierschutzpartei;-;-;-;2;1,6 %;-
Plus;-;-;-;0;0,0 %;-
BSW;-;-;-;13;10,2 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;0;0,0 %;-
WU;-;-;-;0;0,0 %;-
