Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;95;-;-;95;-;-
Wählende;61;64,2 %;-;61;64,2 %;-
Ungültige Stimmen;3;4,9 %;-;1;1,6 %;-
Gültige Stimmen;58;95,1 %;-;60;98,4 %;-
SPD;17;29,3 %;-;13;21,7 %;-
AfD;31;53,4 %;-;30;50,0 %;-
CDU;7;12,1 %;-;5;8,3 %;-
GRÜNE/B 90;0;0,0 %;-;0;0,0 %;-
DIE LINKE;1;1,7 %;-;1;1,7 %;-
BVB / FREIE WÄHLER;2;3,4 %;-;2;3,3 %;-
FDP;0;0,0 %;-;0;0,0 %;-
Tierschutzpartei;-;-;-;0;0,0 %;-
Plus;-;-;-;0;0,0 %;-
BSW;-;-;-;9;15,0 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;0;0,0 %;-
WU;-;-;-;0;0,0 %;-
