Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;133;-;-;133;-;-
Wählende;73;54,9 %;-;73;54,9 %;-
Ungültige Stimmen;2;2,7 %;-;1;1,4 %;-
Gültige Stimmen;71;97,3 %;-;72;98,6 %;-
SPD;27;38,0 %;-;20;27,8 %;-
AfD;26;36,6 %;-;25;34,7 %;-
CDU;13;18,3 %;-;12;16,7 %;-
GRÜNE/B 90;1;1,4 %;-;5;6,9 %;-
DIE LINKE;1;1,4 %;-;2;2,8 %;-
BVB / FREIE WÄHLER;3;4,2 %;-;0;0,0 %;-
FDP;0;0,0 %;-;0;0,0 %;-
Tierschutzpartei;-;-;-;1;1,4 %;-
Plus;-;-;-;0;0,0 %;-
BSW;-;-;-;7;9,7 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;0;0,0 %;-
WU;-;-;-;0;0,0 %;-
