Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;923;-;-;923;-;-
Wählende;443;48,0 %;-;443;48,0 %;-
Ungültige Stimmen;10;2,3 %;-;8;1,8 %;-
Gültige Stimmen;433;97,7 %;-;435;98,2 %;-
SPD;200;46,2 %;-;169;38,9 %;-
AfD;124;28,6 %;-;117;26,9 %;-
CDU;56;12,9 %;-;46;10,6 %;-
GRÜNE/B 90;6;1,4 %;-;9;2,1 %;-
DIE LINKE;20;4,6 %;-;10;2,3 %;-
BVB / FREIE WÄHLER;26;6,0 %;-;15;3,4 %;-
FDP;1;0,2 %;-;1;0,2 %;-
Tierschutzpartei;-;-;-;11;2,5 %;-
Plus;-;-;-;4;0,9 %;-
BSW;-;-;-;51;11,7 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;2;0,5 %;-
WU;-;-;-;0;0,0 %;-
