Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;98;-;-;98;-;-
Wählende;66;67,3 %;-;66;67,3 %;-
Ungültige Stimmen;1;1,5 %;-;1;1,5 %;-
Gültige Stimmen;65;98,5 %;-;65;98,5 %;-
SPD;31;47,7 %;-;22;33,8 %;-
AfD;23;35,4 %;-;17;26,2 %;-
CDU;7;10,8 %;-;11;16,9 %;-
GRÜNE/B 90;1;1,5 %;-;1;1,5 %;-
DIE LINKE;0;0,0 %;-;2;3,1 %;-
BVB / FREIE WÄHLER;3;4,6 %;-;1;1,5 %;-
FDP;0;0,0 %;-;0;0,0 %;-
Tierschutzpartei;-;-;-;0;0,0 %;-
Plus;-;-;-;1;1,5 %;-
BSW;-;-;-;10;15,4 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;0;0,0 %;-
WU;-;-;-;0;0,0 %;-
