Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;110;-;-;110;-;-
Wählende;70;63,6 %;-;70;63,6 %;-
Ungültige Stimmen;3;4,3 %;-;0;0,0 %;-
Gültige Stimmen;67;95,7 %;-;70;100,0 %;-
SPD;32;47,8 %;-;31;44,3 %;-
AfD;8;11,9 %;-;7;10,0 %;-
CDU;20;29,9 %;-;12;17,1 %;-
GRÜNE/B 90;1;1,5 %;-;4;5,7 %;-
DIE LINKE;6;9,0 %;-;2;2,9 %;-
BVB / FREIE WÄHLER;0;0,0 %;-;1;1,4 %;-
FDP;0;0,0 %;-;0;0,0 %;-
Tierschutzpartei;-;-;-;0;0,0 %;-
Plus;-;-;-;0;0,0 %;-
BSW;-;-;-;13;18,6 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;0;0,0 %;-
WU;-;-;-;0;0,0 %;-
