Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;169;-;-;169;-;-
Wählende;103;60,9 %;-;103;60,9 %;-
Ungültige Stimmen;3;2,9 %;-;2;1,9 %;-
Gültige Stimmen;100;97,1 %;-;101;98,1 %;-
SPD;39;39,0 %;-;36;35,6 %;-
AfD;26;26,0 %;-;26;25,7 %;-
CDU;28;28,0 %;-;19;18,8 %;-
GRÜNE/B 90;1;1,0 %;-;1;1,0 %;-
DIE LINKE;1;1,0 %;-;1;1,0 %;-
BVB / FREIE WÄHLER;4;4,0 %;-;2;2,0 %;-
FDP;1;1,0 %;-;3;3,0 %;-
Tierschutzpartei;-;-;-;1;1,0 %;-
Plus;-;-;-;2;2,0 %;-
BSW;-;-;-;9;8,9 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;1;1,0 %;-
WU;-;-;-;0;0,0 %;-
