Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;1.004;-;-;1.004;-;-
Wählende;507;50,5 %;-;507;50,5 %;-
Ungültige Stimmen;4;0,8 %;-;2;0,4 %;-
Gültige Stimmen;503;99,2 %;-;505;99,6 %;-
SPD;229;45,5 %;-;166;32,9 %;-
AfD;108;21,5 %;-;108;21,4 %;-
CDU;89;17,7 %;-;58;11,5 %;-
GRÜNE/B 90;33;6,6 %;-;62;12,3 %;-
DIE LINKE;17;3,4 %;-;28;5,5 %;-
BVB / FREIE WÄHLER;9;1,8 %;-;8;1,6 %;-
FDP;4;0,8 %;-;2;0,4 %;-
Tierschutzpartei;-;-;-;9;1,8 %;-
Plus;14;2,8 %;-;13;2,6 %;-
BSW;-;-;-;47;9,3 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;0;0,0 %;-
WU;-;-;-;4;0,8 %;-
EB Müller;0;0,0 %;-;-;-;-
