Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;1.259;-;-;1.259;-;-
Wählende;508;40,3 %;-;508;40,3 %;-
Ungültige Stimmen;5;1,0 %;-;6;1,2 %;-
Gültige Stimmen;503;99,0 %;-;502;98,8 %;-
SPD;201;40,0 %;-;169;33,7 %;-
AfD;167;33,2 %;-;146;29,1 %;-
CDU;83;16,5 %;-;74;14,7 %;-
GRÜNE/B 90;6;1,2 %;-;23;4,6 %;-
DIE LINKE;10;2,0 %;-;12;2,4 %;-
BVB / FREIE WÄHLER;18;3,6 %;-;8;1,6 %;-
FDP;8;1,6 %;-;5;1,0 %;-
Tierschutzpartei;-;-;-;16;3,2 %;-
Plus;6;1,2 %;-;3;0,6 %;-
BSW;-;-;-;41;8,2 %;-
III. Weg;-;-;-;1;0,2 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;1;0,2 %;-
WU;-;-;-;3;0,6 %;-
EB Müller;4;0,8 %;-;-;-;-
