Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;927;-;-;927;-;-
Wählende;494;53,3 %;-;494;53,3 %;-
Ungültige Stimmen;2;0,4 %;-;3;0,6 %;-
Gültige Stimmen;492;99,6 %;-;491;99,4 %;-
SPD;241;49,0 %;-;210;42,8 %;-
AfD;61;12,4 %;-;55;11,2 %;-
CDU;59;12,0 %;-;57;11,6 %;-
GRÜNE/B 90;80;16,3 %;-;100;20,4 %;-
DIE LINKE;19;3,9 %;-;12;2,4 %;-
BVB / FREIE WÄHLER;13;2,6 %;-;4;0,8 %;-
FDP;10;2,0 %;-;4;0,8 %;-
Tierschutzpartei;-;-;-;7;1,4 %;-
Plus;9;1,8 %;-;5;1,0 %;-
BSW;-;-;-;35;7,1 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;1;0,2 %;-
WU;-;-;-;1;0,2 %;-
