Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;1.005;-;-;1.005;-;-
Wählende;391;38,9 %;-;391.0;38,9 %;-
Ungültige Stimmen;6;1,5 %;-;5.0;1,3 %;-
Gültige Stimmen;385;98,5 %;-;386.0;98,7 %;-
SPD;110;28,6 %;-;104.0;26,9 %;-
AfD;152;39,5 %;-;141.0;36,5 %;-
CDU;30;7,8 %;-;26.0;6,7 %;-
GRÜNE/B 90;10;2,6 %;-;16.0;4,1 %;-
DIE LINKE;15;3,9 %;-;11.0;2,8 %;-
BVB / FREIE WÄHLER;51;13,2 %;-;21.0;5,4 %;-
FDP;9;2,3 %;-;5.0;1,3 %;-
Tierschutzpartei;-;-;-;9.0;2,3 %;-
Plus;8;2,1 %;-;3.0;0,8 %;-
BSW;-;-;-;50.0;13,0 %;-
III. Weg;-;-;-;0.0;0,0 %;-
DKP;-;-;-;0.0;0,0 %;-
DLW;-;-;-;0.0;0,0 %;-
WU;-;-;-;0.0;0,0 %;-
