Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;1.005;-;-;1.005;-;-
Wählende;506;50,3 %;-;506.0;50,3 %;-
Ungültige Stimmen;7;1,4 %;-;3.0;0,6 %;-
Gültige Stimmen;499;98,6 %;-;503.0;99,4 %;-
SPD;191;38,3 %;-;184.0;36,6 %;-
AfD;107;21,4 %;-;104.0;20,7 %;-
CDU;86;17,2 %;-;93.0;18,5 %;-
GRÜNE/B 90;19;3,8 %;-;23.0;4,6 %;-
DIE LINKE;11;2,2 %;-;11.0;2,2 %;-
BVB / FREIE WÄHLER;64;12,8 %;-;19.0;3,8 %;-
FDP;8;1,6 %;-;8.0;1,6 %;-
Tierschutzpartei;-;-;-;7.0;1,4 %;-
Plus;13;2,6 %;-;4.0;0,8 %;-
BSW;-;-;-;45.0;8,9 %;-
III. Weg;-;-;-;0.0;0,0 %;-
DKP;-;-;-;1.0;0,2 %;-
DLW;-;-;-;0.0;0,0 %;-
WU;-;-;-;4.0;0,8 %;-
