Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;1.051;-;-;1.051;-;-
Wählende;473;45,0 %;-;473.0;45,0 %;-
Ungültige Stimmen;7;1,5 %;-;1.0;0,2 %;-
Gültige Stimmen;466;98,5 %;-;472.0;99,8 %;-
SPD;150;32,2 %;-;188.0;39,8 %;-
AfD;59;12,7 %;-;59.0;12,5 %;-
CDU;88;18,9 %;-;90.0;19,1 %;-
GRÜNE/B 90;128;27,5 %;-;61.0;12,9 %;-
DIE LINKE;15;3,2 %;-;14.0;3,0 %;-
BVB / FREIE WÄHLER;8;1,7 %;-;6.0;1,3 %;-
FDP;10;2,1 %;-;7.0;1,5 %;-
Tierschutzpartei;8;1,7 %;-;4.0;0,8 %;-
Plus;-;-;-;4.0;0,8 %;-
BSW;-;-;-;38.0;8,1 %;-
III. Weg;-;-;-;0.0;0,0 %;-
DKP;-;-;-;0.0;0,0 %;-
DLW;-;-;-;1.0;0,2 %;-
WU;-;-;-;0.0;0,0 %;-
