Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;1.154;-;-;1.154;-;-
Wählende;541;46,9 %;-;541.0;46,9 %;-
Ungültige Stimmen;13;2,4 %;-;2.0;0,4 %;-
Gültige Stimmen;528;97,6 %;-;539.0;99,6 %;-
SPD;198;37,5 %;-;192.0;35,6 %;-
AfD;88;16,7 %;-;82.0;15,2 %;-
CDU;45;8,5 %;-;46.0;8,5 %;-
GRÜNE/B 90;101;19,1 %;-;67.0;12,4 %;-
DIE LINKE;51;9,7 %;-;45.0;8,3 %;-
BVB / FREIE WÄHLER;18;3,4 %;-;7.0;1,3 %;-
FDP;8;1,5 %;-;7.0;1,3 %;-
Tierschutzpartei;19;3,6 %;-;11.0;2,0 %;-
Plus;-;-;-;4.0;0,7 %;-
BSW;-;-;-;71.0;13,2 %;-
III. Weg;-;-;-;2.0;0,4 %;-
DKP;-;-;-;0.0;0,0 %;-
DLW;-;-;-;1.0;0,2 %;-
WU;-;-;-;4.0;0,7 %;-
