Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;1.490;-;-;1.49;-;-
Wählende;718;48,2 %;-;718.0;48,2 %;-
Ungültige Stimmen;6;0,8 %;-;4.0;0,6 %;-
Gültige Stimmen;712;99,2 %;-;714.0;99,4 %;-
SPD;258;36,2 %;-;267.0;37,4 %;-
AfD;138;19,4 %;-;124.0;17,4 %;-
CDU;64;9,0 %;-;60.0;8,4 %;-
GRÜNE/B 90;154;21,6 %;-;88.0;12,3 %;-
DIE LINKE;45;6,3 %;-;48.0;6,7 %;-
BVB / FREIE WÄHLER;18;2,5 %;-;11.0;1,5 %;-
FDP;10;1,4 %;-;9.0;1,3 %;-
Tierschutzpartei;25;3,5 %;-;19.0;2,7 %;-
Plus;-;-;-;8.0;1,1 %;-
BSW;-;-;-;76.0;10,6 %;-
III. Weg;-;-;-;0.0;0,0 %;-
DKP;-;-;-;1.0;0,1 %;-
DLW;-;-;-;1.0;0,1 %;-
WU;-;-;-;2.0;0,3 %;-
