Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;717;-;-;717;-;-
Wählende;325;45,3 %;-;325;45,3 %;-
Ungültige Stimmen;9;2,8 %;-;6;1,8 %;-
Gültige Stimmen;316;97,2 %;-;319;98,2 %;-
SPD;106;33,5 %;-;81;25,4 %;-
AfD;115;36,4 %;-;111;34,8 %;-
CDU;13;4,1 %;-;12;3,8 %;-
GRÜNE/B 90;17;5,4 %;-;23;7,2 %;-
DIE LINKE;35;11,1 %;-;32;10,0 %;-
BVB / FREIE WÄHLER;15;4,7 %;-;4;1,3 %;-
FDP;3;0,9 %;-;0;0,0 %;-
Tierschutzpartei;-;-;-;9;2,8 %;-
Plus;12;3,8 %;-;4;1,3 %;-
BSW;-;-;-;40;12,5 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;1;0,3 %;-
DLW;-;-;-;2;0,6 %;-
WU;-;-;-;0;0,0 %;-
