Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;833;-;-;833;-;-
Wählende;376;45,1 %;-;376;45,1 %;-
Ungültige Stimmen;8;2,1 %;-;6;1,6 %;-
Gültige Stimmen;368;97,9 %;-;370;98,4 %;-
SPD;133;36,1 %;-;114;30,8 %;-
AfD;149;40,5 %;-;132;35,7 %;-
CDU;28;7,6 %;-;23;6,2 %;-
GRÜNE/B 90;7;1,9 %;-;13;3,5 %;-
DIE LINKE;28;7,6 %;-;13;3,5 %;-
BVB / FREIE WÄHLER;12;3,3 %;-;9;2,4 %;-
FDP;3;0,8 %;-;2;0,5 %;-
Tierschutzpartei;-;-;-;8;2,2 %;-
Plus;8;2,2 %;-;3;0,8 %;-
BSW;-;-;-;50;13,5 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;1;0,3 %;-
DLW;-;-;-;0;0,0 %;-
WU;-;-;-;2;0,5 %;-
