Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;785;-;-;785;-;-
Wählende;360;45,9 %;-;360;45,9 %;-
Ungültige Stimmen;9;2,5 %;-;4;1,1 %;-
Gültige Stimmen;351;97,5 %;-;356;98,9 %;-
SPD;115;32,8 %;-;104;29,2 %;-
AfD;140;39,9 %;-;130;36,5 %;-
CDU;37;10,5 %;-;25;7,0 %;-
GRÜNE/B 90;9;2,6 %;-;7;2,0 %;-
DIE LINKE;23;6,6 %;-;21;5,9 %;-
BVB / FREIE WÄHLER;15;4,3 %;-;7;2,0 %;-
FDP;2;0,6 %;-;2;0,6 %;-
Tierschutzpartei;-;-;-;12;3,4 %;-
Plus;10;2,8 %;-;4;1,1 %;-
BSW;-;-;-;42;11,8 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;2;0,6 %;-
WU;-;-;-;0;0,0 %;-
