Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;1.381;-;-;1.381;-;-
Wählende;730;52,9 %;-;730.0;52,9 %;-
Ungültige Stimmen;13;1,8 %;-;8.0;1,1 %;-
Gültige Stimmen;717;98,2 %;-;722.0;98,9 %;-
SPD;211;29,4 %;-;188.0;26,0 %;-
AfD;317;44,2 %;-;292.0;40,4 %;-
CDU;98;13,7 %;-;84.0;11,6 %;-
GRÜNE/B 90;11;1,5 %;-;15.0;2,1 %;-
DIE LINKE;29;4,0 %;-;12.0;1,7 %;-
BVB / FREIE WÄHLER;43;6,0 %;-;17.0;2,4 %;-
FDP;8;1,1 %;-;3.0;0,4 %;-
Tierschutzpartei;-;-;-;12.0;1,7 %;-
Plus;-;-;-;3.0;0,4 %;-
BSW;-;-;-;88.0;12,2 %;-
III. Weg;-;-;-;2.0;0,3 %;-
DKP;-;-;-;0.0;0,0 %;-
DLW;-;-;-;2.0;0,3 %;-
WU;-;-;-;4.0;0,6 %;-
