Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;863;-;-;863;-;-
Wählende;377;43,7 %;-;377;43,7 %;-
Ungültige Stimmen;5;1,3 %;-;7;1,9 %;-
Gültige Stimmen;372;98,7 %;-;370;98,1 %;-
SPD;151;40,6 %;-;122;33,0 %;-
AfD;128;34,4 %;-;124;33,5 %;-
CDU;38;10,2 %;-;27;7,3 %;-
GRÜNE/B 90;7;1,9 %;-;6;1,6 %;-
DIE LINKE;17;4,6 %;-;12;3,2 %;-
BVB / FREIE WÄHLER;28;7,5 %;-;5;1,4 %;-
FDP;3;0,8 %;-;6;1,6 %;-
Tierschutzpartei;-;-;-;21;5,7 %;-
Plus;-;-;-;6;1,6 %;-
BSW;-;-;-;40;10,8 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;0;0,0 %;-
WU;-;-;-;1;0,3 %;-
