Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;757;-;-;757;-;-
Wählende;332;43,9 %;-;332;43,9 %;-
Ungültige Stimmen;2;0,6 %;-;2;0,6 %;-
Gültige Stimmen;330;99,4 %;-;330;99,4 %;-
SPD;147;44,5 %;-;114;34,5 %;-
AfD;70;21,2 %;-;69;20,9 %;-
CDU;81;24,5 %;-;82;24,8 %;-
GRÜNE/B 90;8;2,4 %;-;17;5,2 %;-
DIE LINKE;5;1,5 %;-;0;0,0 %;-
BVB / FREIE WÄHLER;13;3,9 %;-;6;1,8 %;-
FDP;6;1,8 %;-;4;1,2 %;-
Tierschutzpartei;-;-;-;6;1,8 %;-
Plus;-;-;-;2;0,6 %;-
BSW;-;-;-;28;8,5 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;1;0,3 %;-
WU;-;-;-;1;0,3 %;-
