Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;166;-;-;166;-;-
Wählende;85;51,2 %;-;85;51,2 %;-
Ungültige Stimmen;0;0,0 %;-;0;0,0 %;-
Gültige Stimmen;85;100,0 %;-;85;100,0 %;-
SPD;36;42,4 %;-;37;43,5 %;-
AfD;18;21,2 %;-;17;20,0 %;-
CDU;19;22,4 %;-;18;21,2 %;-
GRÜNE/B 90;2;2,4 %;-;1;1,2 %;-
DIE LINKE;1;1,2 %;-;1;1,2 %;-
BVB / FREIE WÄHLER;7;8,2 %;-;2;2,4 %;-
FDP;2;2,4 %;-;1;1,2 %;-
Tierschutzpartei;-;-;-;0;0,0 %;-
Plus;-;-;-;0;0,0 %;-
BSW;-;-;-;7;8,2 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;1;1,2 %;-
WU;-;-;-;0;0,0 %;-
