Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;97;-;-;97;-;-
Wählende;72;74,2 %;-;72;74,2 %;-
Ungültige Stimmen;2;2,8 %;-;2;2,8 %;-
Gültige Stimmen;70;97,2 %;-;70;97,2 %;-
SPD;34;48,6 %;-;26;37,1 %;-
AfD;14;20,0 %;-;14;20,0 %;-
CDU;9;12,9 %;-;8;11,4 %;-
GRÜNE/B 90;2;2,9 %;-;8;11,4 %;-
DIE LINKE;4;5,7 %;-;3;4,3 %;-
BVB / FREIE WÄHLER;7;10,0 %;-;2;2,9 %;-
FDP;0;0,0 %;-;0;0,0 %;-
Tierschutzpartei;-;-;-;0;0,0 %;-
Plus;-;-;-;0;0,0 %;-
BSW;-;-;-;8;11,4 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;1;1,4 %;-
WU;-;-;-;0;0,0 %;-
