Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;332;-;-;332;-;-
Wählende;207;62,3 %;-;207;62,3 %;-
Ungültige Stimmen;4;1,9 %;-;0;0,0 %;-
Gültige Stimmen;203;98,1 %;-;207;100,0 %;-
SPD;81;39,9 %;-;90;43,5 %;-
AfD;56;27,6 %;-;48;23,2 %;-
CDU;38;18,7 %;-;28;13,5 %;-
GRÜNE/B 90;2;1,0 %;-;5;2,4 %;-
DIE LINKE;6;3,0 %;-;1;0,5 %;-
BVB / FREIE WÄHLER;14;6,9 %;-;3;1,4 %;-
FDP;6;3,0 %;-;2;1,0 %;-
Tierschutzpartei;-;-;-;1;0,5 %;-
Plus;-;-;-;2;1,0 %;-
BSW;-;-;-;26;12,6 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;1;0,5 %;-
WU;-;-;-;0;0,0 %;-
