Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;82;-;-;82;-;-
Wählende;50;61,0 %;-;50;61,0 %;-
Ungültige Stimmen;3;6,0 %;-;2;4,0 %;-
Gültige Stimmen;47;94,0 %;-;48;96,0 %;-
SPD;15;31,9 %;-;18;37,5 %;-
AfD;12;25,5 %;-;10;20,8 %;-
CDU;13;27,7 %;-;5;10,4 %;-
GRÜNE/B 90;1;2,1 %;-;2;4,2 %;-
DIE LINKE;2;4,3 %;-;1;2,1 %;-
BVB / FREIE WÄHLER;4;8,5 %;-;2;4,2 %;-
FDP;0;0,0 %;-;0;0,0 %;-
Tierschutzpartei;-;-;-;2;4,2 %;-
Plus;-;-;-;1;2,1 %;-
BSW;-;-;-;7;14,6 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;0;0,0 %;-
WU;-;-;-;0;0,0 %;-
