Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;102;-;-;102;-;-
Wählende;65;63,7 %;-;65;63,7 %;-
Ungültige Stimmen;0;0,0 %;-;0;0,0 %;-
Gültige Stimmen;65;100,0 %;-;65;100,0 %;-
SPD;33;50,8 %;-;32;49,2 %;-
AfD;11;16,9 %;-;11;16,9 %;-
CDU;9;13,8 %;-;6;9,2 %;-
GRÜNE/B 90;3;4,6 %;-;5;7,7 %;-
DIE LINKE;4;6,2 %;-;0;0,0 %;-
BVB / FREIE WÄHLER;4;6,2 %;-;1;1,5 %;-
FDP;1;1,5 %;-;1;1,5 %;-
Tierschutzpartei;-;-;-;1;1,5 %;-
Plus;-;-;-;1;1,5 %;-
BSW;-;-;-;6;9,2 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;0;0,0 %;-
WU;-;-;-;1;1,5 %;-
