Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;376;-;-;376;-;-
Wählende;193;51,3 %;-;193;51,3 %;-
Ungültige Stimmen;8;4,1 %;-;5;2,6 %;-
Gültige Stimmen;185;95,9 %;-;188;97,4 %;-
SPD;57;30,8 %;-;55;29,3 %;-
AfD;79;42,7 %;-;74;39,4 %;-
CDU;16;8,6 %;-;11;5,9 %;-
GRÜNE/B 90;2;1,1 %;-;2;1,1 %;-
DIE LINKE;7;3,8 %;-;2;1,1 %;-
BVB / FREIE WÄHLER;21;11,4 %;-;9;4,8 %;-
FDP;3;1,6 %;-;2;1,1 %;-
Tierschutzpartei;-;-;-;3;1,6 %;-
Plus;-;-;-;3;1,6 %;-
BSW;-;-;-;21;11,2 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;4;2,1 %;-
WU;-;-;-;2;1,1 %;-
