Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;163;-;-;163;-;-
Wählende;102;62,6 %;-;102;62,6 %;-
Ungültige Stimmen;1;1,0 %;-;0;0,0 %;-
Gültige Stimmen;101;99,0 %;-;102;100,0 %;-
SPD;38;37,6 %;-;39;38,2 %;-
AfD;37;36,6 %;-;34;33,3 %;-
CDU;14;13,9 %;-;9;8,8 %;-
GRÜNE/B 90;2;2,0 %;-;3;2,9 %;-
DIE LINKE;2;2,0 %;-;2;2,0 %;-
BVB / FREIE WÄHLER;8;7,9 %;-;5;4,9 %;-
FDP;0;0,0 %;-;0;0,0 %;-
Tierschutzpartei;-;-;-;3;2,9 %;-
Plus;-;-;-;0;0,0 %;-
BSW;-;-;-;6;5,9 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;1;1,0 %;-
WU;-;-;-;0;0,0 %;-
