Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;1.291;-;-;1.291;-;-
Wählende;606;46,9 %;-;606;46,9 %;-
Ungültige Stimmen;41;6,8 %;-;2;0,3 %;-
Gültige Stimmen;565;93,2 %;-;604;99,7 %;-
SPD;213;37,7 %;-;190;31,5 %;-
AfD;-;-;-;233;38,6 %;-
CDU;102;18,1 %;-;41;6,8 %;-
GRÜNE/B 90;6;1,1 %;-;14;2,3 %;-
DIE LINKE;42;7,4 %;-;17;2,8 %;-
BVB / FREIE WÄHLER;75;13,3 %;-;7;1,2 %;-
FDP;16;2,8 %;-;9;1,5 %;-
Tierschutzpartei;-;-;-;11;1,8 %;-
Plus;-;-;-;1;0,2 %;-
BSW;-;-;-;77;12,7 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;1;0,2 %;-
DLW;-;-;-;2;0,3 %;-
WU;-;-;-;1;0,2 %;-
EB Raue;111;19,6 %;-;-;-;-
