Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;245;-;-;245;-;-
Wählende;156;63,7 %;-;156;63,7 %;-
Ungültige Stimmen;3;1,9 %;-;0;0,0 %;-
Gültige Stimmen;153;98,1 %;-;156;100,0 %;-
SPD;68;44,4 %;-;55;35,3 %;-
AfD;-;-;-;46;29,5 %;-
CDU;20;13,1 %;-;18;11,5 %;-
GRÜNE/B 90;0;0,0 %;-;1;0,6 %;-
DIE LINKE;14;9,2 %;-;2;1,3 %;-
BVB / FREIE WÄHLER;23;15,0 %;-;2;1,3 %;-
FDP;2;1,3 %;-;1;0,6 %;-
Tierschutzpartei;-;-;-;5;3,2 %;-
Plus;-;-;-;3;1,9 %;-
BSW;-;-;-;20;12,8 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;3;1,9 %;-
WU;-;-;-;0;0,0 %;-
EB Raue;26;17,0 %;-;-;-;-
