Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;225;-;-;225;-;-
Wählende;159;70,7 %;-;159;70,7 %;-
Ungültige Stimmen;7;4,4 %;-;0;0,0 %;-
Gültige Stimmen;152;95,6 %;-;159;100,0 %;-
SPD;35;23,0 %;-;28;17,6 %;-
AfD;-;-;-;87;54,7 %;-
CDU;23;15,1 %;-;17;10,7 %;-
GRÜNE/B 90;0;0,0 %;-;0;0,0 %;-
DIE LINKE;4;2,6 %;-;3;1,9 %;-
BVB / FREIE WÄHLER;19;12,5 %;-;3;1,9 %;-
FDP;4;2,6 %;-;2;1,3 %;-
Tierschutzpartei;-;-;-;4;2,5 %;-
Plus;-;-;-;0;0,0 %;-
BSW;-;-;-;14;8,8 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;0;0,0 %;-
WU;-;-;-;1;0,6 %;-
EB Raue;67;44,1 %;-;-;-;-
