Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;353;-;-;353;-;-
Wählende;229;64,9 %;+69;229;64,9 %;+69
Ungültige Stimmen;10;4,4 %;+31;6;2,6 %;+12
Gültige Stimmen;219;95,6 %;-31;223;97,4 %;-12
SPD;84;38,4 %;+16;68;30,5 %;-40
AfD;-;-;-241;73;32,7 %;+71
CDU;36;16,4 %;+29;31;13,9 %;-17
GRÜNE/B 90;0;0,0 %;-53;2;0,9 %;-39
DIE LINKE;9;4,1 %;-56;2;0,9 %;-81
BVB / FREIE WÄHLER;19;8,7 %;+05;3;1,3 %;-24
FDP;6;2,7 %;+05;1;0,4 %;-27
Tierschutzpartei;-;-;-;6;2,7 %;-01
Plus;-;-;-;1;0,4 %;-02
BSW;-;-;-;36;16,1 %;+161
III. Weg;-;-;-;0;0,0 %;00
DKP;-;-;-;0;0,0 %;00
DLW;-;-;-;0;0,0 %;00
WU;-;-;-;0;0,0 %;00
EB Raue;65;29,7 %;+297;-;-;-
