Merkmal_Unnamed: 0_level_1;Erststimmen_Anzahl;Erststimmen_Anteil;Erststimmen_Gewinn;Zweitstimmen_Anzahl;Zweitstimmen_Anteil;Zweitstimmen_Gewinn
Wahlberechtigte;126;-;-;126;-;-
Wählende;72;57,1 %;-;72;57,1 %;-
Ungültige Stimmen;1;1,4 %;-;0;0,0 %;-
Gültige Stimmen;71;98,6 %;-;72;100,0 %;-
SPD;24;33,8 %;-;22;30,6 %;-
AfD;33;46,5 %;-;31;43,1 %;-
CDU;12;16,9 %;-;10;13,9 %;-
GRÜNE/B 90;0;0,0 %;-;1;1,4 %;-
DIE LINKE;1;1,4 %;-;1;1,4 %;-
BVB / FREIE WÄHLER;0;0,0 %;-;0;0,0 %;-
FDP;1;1,4 %;-;0;0,0 %;-
Tierschutzpartei;-;-;-;1;1,4 %;-
Plus;-;-;-;0;0,0 %;-
BSW;-;-;-;6;8,3 %;-
III. Weg;-;-;-;0;0,0 %;-
DKP;-;-;-;0;0,0 %;-
DLW;-;-;-;0;0,0 %;-
WU;-;-;-;0;0,0 %;-
